"ticker","date","open_price","high_price","low_price","close_price","volume","price_change","price_change_percent","real_score"
"SBER","2015-11-02","90.25","93.80","89.66","93.65","124983010",NULL,NULL,"0"
"SBER","2015-11-03","93.86","95.59","93.32","95.40","122392690","1.75","1.87","0"
"SBER","2015-11-05","96.00","96.60","94.60","95.50","126679170","0.10","0.10","0"
"SBER","2015-11-06","95.50","95.91","93.57","94.09","106562480","-1.41","-1.48","0"
"SBER","2015-11-09","94.49","94.79","92.70","92.95","78965580","-1.14","-1.21","0"
"SBER","2015-11-10","92.76","94.42","92.02","94.35","71406950","1.40","1.51","0"
"SBER","2015-11-11","94.20","94.86","92.65","94.00","77455220","-0.35","-0.37","0"
"SBER","2015-11-12","93.43","94.77","92.69","94.29","79120920","0.29","0.31","0"
"SBER","2015-11-13","93.42","94.39","92.96","93.40","78881520","-0.89","-0.94","0"
"SBER","2015-11-16","93.09","96.14","93.01","95.80","88002030","2.40","2.57","0"
"SBER","2015-11-17","96.52","102.67","96.52","102.50","180740130","6.70","6.99","0"
"SBER","2015-11-18","102.78","104.59","101.74","104.00","136465200","1.50","1.46","0"
"SBER","2015-11-19","104.63","108.55","102.54","104.86","190977640","0.86","0.83","0"
"SBER","2015-11-20","104.34","107.30","103.19","107.30","113665790","2.44","2.33","0"
"SBER","2015-11-23","106.85","110.32","105.22","109.98","173177320","2.68","2.50","0"
"SBER","2015-11-24","109.83","110.70","105.15","105.60","154124530","-4.38","-3.98","0"
"SBER","2015-11-25","106.21","108.94","105.44","108.51","119438820","2.91","2.76","0"
"SBER","2015-11-26","108.78","109.30","105.60","106.48","80594160","-2.03","-1.87","0"
"SBER","2015-11-27","105.74","106.06","103.70","104.55","93246670","-1.93","-1.81","0"
"SBER","2015-11-30","103.90","105.90","102.75","102.90","87093940","-1.65","-1.58","0"
"SBER","2015-12-01","103.51","103.90","100.60","101.30","98740920","-1.60","-1.55","0"
"SBER","2015-12-02","101.49","103.49","101.15","102.50","89679440","1.20","1.18","0"
"SBER","2015-12-03","101.91","105.02","101.50","104.00","96330850","1.50","1.46","0"
"SBER","2015-12-04","103.70","105.67","102.25","103.05","107482110","-0.95","-0.91","0"
"SBER","2015-12-07","103.45","104.90","102.78","103.00","91307170","-0.05","-0.05","0"
"SBER","2015-12-08","102.81","103.08","96.95","97.00","159192320","-6.00","-5.83","0"
"SBER","2015-12-09","97.48","101.05","97.24","100.66","118977140","3.66","3.77","0"
"SBER","2015-12-10","100.25","101.75","99.67","100.13","88882360","-0.53","-0.53","0"
"SBER","2015-12-11","99.88","100.59","97.76","98.15","90910000","-1.98","-1.98","0"
"SBER","2015-12-14","97.60","98.37","96.23","97.70","101803240","-0.45","-0.46","0"
"SBER","2015-12-15","98.36","100.79","98.24","100.00","87414990","2.30","2.35","0"
"SBER","2015-12-16","100.26","102.50","100.07","102.45","70519150","2.45","2.45","0"
"SBER","2015-12-17","102.85","105.18","102.55","103.75","120045750","1.30","1.27","0"
"SBER","2015-12-18","103.05","103.18","98.80","98.81","108739650","-4.94","-4.76","0"
"SBER","2015-12-21","98.94","100.80","97.65","98.73","81350840","-0.08","-0.08","0"
"SBER","2015-12-22","99.50","100.40","99.10","99.80","48754440","1.07","1.08","0"
"SBER","2015-12-23","100.15","102.96","100.13","102.96","72242830","3.16","3.17","0"
"SBER","2015-12-24","103.70","103.89","100.40","101.35","72100810","-1.61","-1.56","0"
"SBER","2015-12-25","101.83","102.32","100.78","101.34","26162460","-0.01","-0.01","0"
"SBER","2015-12-28","101.25","101.54","99.46","100.20","36917760","-1.14","-1.12","0"
"SBER","2015-12-29","100.42","102.50","99.74","101.82","72668060","1.62","1.62","0"
"SBER","2015-12-30","101.67","101.85","100.47","101.26","38859760","-0.56","-0.55","0"
"SBER","2016-01-04","101.00","101.78","97.94","98.01","51183990","-3.25","-3.21","0"
"SBER","2016-01-05","97.94","99.24","97.16","98.89","48997370","0.88","0.90","-0.9666323345154524"
"SBER","2016-01-06","98.72","99.56","96.83","96.85","40688180","-2.04","-2.06","0.9265428502112628"
"SBER","2016-01-11","93.70","94.89","91.01","91.03","85788320","-5.82","-6.01","0"
"SBER","2016-01-12","89.50","92.88","88.52","91.71","109778950","0.68","0.75","0"
"SBER","2016-01-13","92.70","93.88","91.25","91.50","74000750","-0.21","-0.23","0"
"SBER","2016-01-14","90.98","93.15","90.37","93.04","80962520","1.54","1.68","-0.1267103962600231"
"SBER","2016-01-15","92.43","92.95","86.85","87.27","133569990","-5.77","-6.20","0.1506615877151489"
"SBER","2016-01-18","86.30","88.28","85.10","86.15","100385360","-1.12","-1.28","0.1405125269666314"
"SBER","2016-01-19","87.32","89.70","85.76","86.68","113948150","0.53","0.62","0"
"SBER","2016-01-20","84.90","85.19","82.20","83.83","134106610","-2.85","-3.29","-0.9641051962971688"
"SBER","2016-01-21","84.24","87.15","83.27","86.00","143653780","2.17","2.59","-0.9660434606485068"
"SBER","2016-01-22","88.97","92.28","87.62","91.50","206844770","5.50","6.40","-0.0062868595123291"
"SBER","2016-01-25","92.55","93.35","90.00","91.00","131617230","-0.50","-0.55","0.0668977927416563"
"SBER","2016-01-26","89.11","91.76","88.74","91.50","105032370","0.50","0.55","0.8728310689330101"
"SBER","2016-01-27","91.98","96.26","91.47","95.75","150750760","4.25","4.64","0.0351337492465972"
"SBER","2016-01-28","95.78","97.28","94.33","96.69","179401240","0.94","0.98","0"
"SBER","2016-01-29","97.48","98.70","95.12","96.50","164734030","-0.19","-0.20","0.9338680971413852"
"SBER","2016-02-01","96.35","97.49","95.29","96.50","89540470","0.00","0.00","0.3394915908575058"
"SBER","2016-02-02","95.67","97.07","93.75","94.40","128914040","-2.10","-2.18","0.0050763431936502"
"SBER","2016-02-03","93.91","96.89","93.71","94.53","112674290","0.13","0.14","-0.1178136467933654"
"SBER","2016-02-04","98.48","98.49","96.71","97.57","120693420","3.04","3.22","0.8216302320361137"
"SBER","2016-02-05","97.01","97.98","96.35","97.20","81229760","-0.37","-0.38","-0.0091954842209815"
"SBER","2016-02-08","97.05","97.86","93.85","94.70","106112220","-2.50","-2.57","-0.5699824765324593"
"SBER","2016-02-09","93.98","95.63","92.70","93.89","121139330","-0.81","-0.86","-0.0028314124792814"
"SBER","2016-02-10","93.50","96.77","93.16","96.35","111291300","2.46","2.62","0.0196339804679155"
"SBER","2016-02-11","95.71","96.10","93.05","94.20","115241960","-2.15","-2.23","0.7543440237641335"
"SBER","2016-02-12","95.14","95.67","94.18","94.85","79177230","0.65","0.69","-0.9386713812127708"
"SBER","2016-02-15","96.01","96.37","94.93","95.25","68273680","0.40","0.42","0.1773077864199876"
"SBER","2016-02-16","95.95","97.28","95.70","96.51","114762620","1.26","1.32","0.1434247903525829"
"SBER","2016-02-17","96.51","99.38","96.05","99.20","114642730","2.69","2.79","0.2432937091216445"
"SBER","2016-02-18","99.88","102.80","99.75","102.70","125518410","3.50","3.53","0.3328668121248483"
"SBER","2016-02-19","101.98","103.57","101.00","101.50","171509110","-1.20","-1.17","0.0803382461890578"
"SBER","2016-02-20","101.64","102.60","101.50","102.35","17989490","0.85","0.84","-0.9620190439745784"
"SBER","2016-02-22","102.58","104.39","102.39","103.20","66162380","0.85","0.83","0"
"SBER","2016-02-24","101.99","102.70","100.79","102.10","88950780","-1.10","-1.07","0.1070043668150901"
"SBER","2016-02-25","102.65","104.35","101.51","104.05","110133640","1.95","1.91","0.1916815359145403"
"SBER","2016-02-26","105.01","107.15","104.83","106.24","143848820","2.19","2.10","0.1209191279485821"
"SBER","2016-02-29","105.57","107.38","104.81","107.00","91688580","0.76","0.72","0.5685352962464094"
"SBER","2016-03-01","107.50","108.79","106.42","108.26","114771730","1.26","1.18","0.020252052694559"
"SBER","2016-03-02","109.01","109.20","106.10","106.12","97665960","-2.14","-1.98","0.8765650149434805"
"SBER","2016-03-03","106.70","107.63","105.40","106.99","80139720","0.87","0.82","0.0186508689075708"
"SBER","2016-03-04","107.57","109.02","106.70","108.99","84055380","2.00","1.87","0"
"SBER","2016-03-07","109.63","110.20","108.57","109.47","74951360","0.48","0.44","0"
"SBER","2016-03-09","108.98","109.07","107.50","108.15","72379620","-1.32","-1.21","-0.0159894749522209"
"SBER","2016-03-10","108.28","109.90","107.67","108.84","94907390","0.69","0.64","0"
"SBER","2016-03-11","109.20","109.95","108.55","109.26","61241500","0.42","0.39","0.0181898102164268"
"SBER","2016-03-14","109.29","109.56","108.40","109.26","66447890","0.00","0.00","0.2909306548535824"
"SBER","2016-03-15","109.58","110.29","106.09","106.46","126167970","-2.80","-2.56","0.0602135807275772"
"SBER","2016-03-16","107.20","107.27","106.12","107.00","75628070","0.54","0.51","0.1809367723762989"
"SBER","2016-03-17","107.70","109.49","107.70","109.47","92849150","2.47","2.31","0.0290604494512081"
"SBER","2016-03-18","109.59","112.50","108.91","112.40","134588820","2.93","2.68","0.0153376013040542"
"SBER","2016-03-21","111.50","112.92","110.50","112.07","115398170","-0.33","-0.29","0.0184126943349838"
"SBER","2016-03-22","112.28","114.19","111.00","111.49","107504430","-0.58","-0.52","-0.1479878053069114"
"SBER","2016-03-23","111.27","112.10","108.70","109.10","104058640","-2.39","-2.14","0.9030044935643672"
"SBER","2016-03-24","108.58","109.29","107.05","108.06","93378980","-1.04","-0.95","-0.7984245773404837"
"SBER","2016-03-25","108.63","109.50","108.63","109.10","32897550","1.04","0.96","0"
"SBER","2016-03-28","109.99","110.11","107.69","108.12","49458060","-0.98","-0.90","0.0526252184063196"
"SBER","2016-03-29","107.91","108.44","105.35","107.05","86806520","-1.07","-0.99","0.0905418694019317"
"SBER","2016-03-30","107.96","109.91","107.52","109.15","84179670","2.10","1.96","0.0209394171833992"
"SBER","2016-03-31","108.72","110.59","107.32","109.90","106464080","0.75","0.69","0.4923238456249237"
"SBER","2016-04-01","109.32","109.40","107.01","108.52","101161710","-1.38","-1.26","-0.2176778391003608"
"SBER","2016-04-04","108.22","109.69","107.10","108.20","80407450","-0.32","-0.29","0"
"SBER","2016-04-05","107.23","107.64","106.00","106.87","75497660","-1.33","-1.23","0.1873155944049358"
"SBER","2016-04-06","107.64","108.30","107.05","108.00","75393670","1.13","1.06","-0.5382897481322289"
"SBER","2016-04-07","108.98","109.38","107.62","108.51","80198430","0.51","0.47","0"
"SBER","2016-04-08","108.86","113.30","108.56","112.92","124397630","4.41","4.06","0.8458445882424712"
"SBER","2016-04-11","112.96","117.85","112.62","117.35","150641490","4.43","3.92","0.566161759197712"
"SBER","2016-04-12","117.27","119.39","115.82","117.95","120987100","0.60","0.51","0"
"SBER","2016-04-13","118.10","119.95","117.35","119.50","103342960","1.55","1.31","0.0521535705775022"
"SBER","2016-04-14","119.04","119.55","117.89","119.30","87945210","-0.20","-0.17","0.0521138589829206"
"SBER","2016-04-15","118.99","119.91","118.11","119.30","70457880","0.00","0.00","-0.8908126149326563"
"SBER","2016-04-18","117.12","118.20","116.01","118.20","91536570","-1.10","-0.92","-0.9444658975116909"
"SBER","2016-04-19","118.83","123.35","118.78","121.50","137624630","3.30","2.79","-0.8833922315388918"
"SBER","2016-04-20","120.69","123.97","119.90","123.75","104316770","2.25","1.85","0.0150305852293968"
"SBER","2016-04-21","124.99","125.55","118.20","119.17","181664640","-4.58","-3.70","0.1146357432007789"
"SBER","2016-04-22","119.64","121.39","117.90","121.25","102968520","2.08","1.75","-0.9444093108177184"
"SBER","2016-04-25","121.00","121.51","119.60","120.08","67336110","-1.17","-0.96","0.0198034346103668"
"SBER","2016-04-26","119.97","119.97","116.75","119.70","87560980","-0.38","-0.32","0.0215212367475032"
"SBER","2016-04-27","120.24","122.37","119.57","120.80","90692430","1.10","0.92","-0.4800323732197284"
"SBER","2016-04-28","121.32","124.39","120.00","124.39","86103090","3.59","2.97","0.1870716474950313"
"SBER","2016-04-29","124.44","125.78","122.00","123.55","102783950","-0.84","-0.68","-0.8477412201464176"
"SBER","2016-05-04","121.50","122.39","119.31","120.96","84858050","-2.59","-2.10","-0.9328141026198864"
"SBER","2016-05-05","121.28","122.30","120.40","120.92","55968600","-0.04","-0.03","-0.8639599606394768"
"SBER","2016-05-06","120.31","120.86","118.41","120.64","70246720","-0.28","-0.23","-0.8173723546788096"
"SBER","2016-05-10","119.80","121.35","118.57","119.55","66102880","-1.09","-0.90","0"
"SBER","2016-05-11","120.06","123.62","119.57","123.45","85314900","3.90","3.26","0.538491178303957"
"SBER","2016-05-12","123.45","124.38","121.01","121.20","82024670","-2.25","-1.82","0"
"SBER","2016-05-13","121.40","121.95","119.69","121.07","63678800","-0.13","-0.11","0"
"SBER","2016-05-16","122.10","123.62","121.63","122.60","58974060","1.53","1.26","0"
"SBER","2016-05-17","122.88","123.27","120.60","122.71","72488460","0.11","0.09","-0.0001004934310913"
"SBER","2016-05-18","122.49","123.54","121.83","123.12","50018810","0.41","0.33","0.0372420735657215"
"SBER","2016-05-19","121.99","122.17","120.30","120.50","72263880","-2.62","-2.13","0.7568448623642325"
"SBER","2016-05-20","121.79","122.47","120.80","121.90","53918680","1.40","1.16","0"
"SBER","2016-05-23","121.30","122.20","120.12","121.51","56384330","-0.39","-0.32","0.7045342847704887"
"SBER","2016-05-24","121.42","124.07","121.35","123.50","56867780","1.99","1.64","-0.0205439031124115"
"SBER","2016-05-25","124.45","128.55","124.41","127.87","113976050","4.37","3.54","0.883314473554492"
"SBER","2016-05-26","128.55","133.05","126.90","132.16","125157540","4.29","3.35","0.7928998935967684"
"SBER","2016-05-27","131.62","134.79","131.35","133.20","87155860","1.04","0.79","-0.9359853165224196"
"SBER","2016-05-30","133.55","135.08","132.55","134.45","37557070","1.25","0.94","-0.0939052775502204"
"SBER","2016-05-31","134.79","135.98","132.56","132.56","93293740","-1.89","-1.41","0.1885079219937324"
"SBER","2016-06-01","132.36","133.21","131.31","131.36","64123110","-1.20","-0.91","0.2226261794567108"
"SBER","2016-06-02","131.60","133.08","130.51","132.30","63910540","0.94","0.72","-0.3591857552528381"
"SBER","2016-06-03","133.08","134.44","131.04","131.59","68130080","-0.71","-0.54","-0.0360879562795162"
"SBER","2016-06-06","132.10","134.74","132.00","133.99","48631250","2.40","1.82","-0.3766129091382026"
"SBER","2016-06-07","134.51","139.97","134.02","139.97","101116160","5.98","4.46","0"
